#CharNo	Charactor name	Event name	hash-a	hash-p	hash-d	hash-w	sel1	sel1-effect	sel2	sel2-effect	sel3	sel3-effect	sel4	sel4-effect	sel5	sel5-effect
1	[スペシャルドリーマー]スペシャルウィーク(育成)	夏合宿（２年目）にて	0101f1f9f1f90101	aa1311e6e6d9cd32	ffbf43032723affb	0101fbfbfbf90103	フィジカルを強くしていかないとな	パワー+10	動じないハートを鍛えないとな	根性+10						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	研究熱心					東京レース場総集編	「東京レース場○」ヒントLv+1	中山レース場総集編	「中山レース場○」ヒントLv+1						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	今日も、明日からも	0080d8f8f8f88000	f87f37c38180807f	3f3f23b333a3373f	8381f9f9f9f98101	じゃあ追加トレーニングだ	スピード+20 ランダムで「注目株」	ゆっくり休んで明日に備えよう	賢さ+20  ランダムで「注目株」						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	初詣	0101818181830303	aa0001fcfff8fe01	7fff3f3f3f3f3ffb	070787878f8f0f0f	健康的に強くなる！	体力+30	能力を底上げする！	全ステータス+5	色んな技を覚える！	スキルpt+35				
1	[スペシャルドリーマー]スペシャルウィーク(育成)	食堂でお腹いっぱい	0101c1f1f1f10101	aa121bcfc6f0e81b	ff7f978747479bfb	0103f3f3fbf30303	今はバランスの取れた食事が大事！	体力+10 スキルPt+5	あとで運動すれば大丈夫！	体力+30 スキルPt+10 ランダムでスピード-5 ランダムで「太り気味」						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	新年の抱負	0101c1e1e1e10101	aa1e0ef0f0e1f11e	ffff9f979797ffbb	0307e3e3e3e30303	長所を思いっきり伸ばそう！	スタミナ+10	とにかく健康に気をつけよう！	体力+20	日本一の技術を身につけよう！	スキル+Pt20				
1	[スペシャルドリーマー]スペシャルウィーク(育成)	青春のテニス日和	0101f1f1f1f10101	aa1113cefce3c718	ffff272727273fdf	0303f3f3f3f30303	反応の良さを信じて前衛	スピード+10	スタミナを信じて後衛	スタミナ+10						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	想い、服に託して	0080f0f8f0f88000	ee7f33c5c000c07f	3f1f23a327a32f3f	8381f9f9f9f98101	一緒にこの経緯を活かしていこう	スタミナ+20	こっちこそ甘すぎた	根性+20						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	昼下がりの恩返し	0101f1f1f1f10101	aa3019cee1f3ce38	efff6b4f47673bfb	0303f3f3f3f30303	食べることを楽しもう！	体力+5 賢さ+5	何も言うことはない！	「ペースキープ」ヒントLv+1						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	追加の自主トレ	0101c1e1e1e10101	aa1e1fe2e271f00e	ffff0f8b8b8bdfbb	0307e3e3f3f30303	わかった！気が済むまで走り込もう！	体力-5 直前のトレーニング種別+5 秋川理事長の絆ゲージ+5	落ち着いて、オーバーワークになっちゃうよ！	体力+5						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	特別だからこそ					お母さんとはどこに出かけるんだ？	スタミナ+10	ともだちとはどこに出かけるんだ？	スピード+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	あんし～ん笹針師、参☆上	010131bdf9fd0101	aa1530f2cf1fce21	7b9f63696369efbb	0101bdfdfdfd0103	強いウマ娘になれる秘孔を狙う	【成功時】 全ステ+20\n【失敗時】 やる気-1 全ステ-15 「夜ふかし気味」	レースで勝てる秘孔を狙う	【成功時】 「コーナー回復〇」 「直線回復」\n 【失敗時】 やる気-1 体力-20	元気で健康になれる秘孔を狙う	【成功時】 体力最大値+12 体力+40\n【失敗時】 やる気-1 体力-20 「練習ベタ」	魅力アップの秘孔を狙う	【成功時】 体力+20 やる気+1 「愛嬌〇」\n【失敗時】 やる気-1 体力-10	不安なのでやめておく	体力+10
2	[pf.Victory formula...]ビワハヤヒデ(育成)	お大事に！	01c1c1c1c1c10101	a8f00f0f1c0ff9f0	7f9f979f9f17fffb	03c3e3e3c7c70303	上	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」	下	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	かくれんぼマイスター					俺が鬼をするよ	根性+10	ビワハヤヒデが鬼な!	スピード+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	カフェで読書を					素敵な趣味だな	スタミナ+10	他にもおすすめの店があれば教えて	スピード+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	ゲームに関する実践証明					有名パズルゲーム	賢さ+10	コアなレースゲーム	パワー+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	ダンスレッスン	010181e1e1e10101	aa1f1cc0e33fe618	ffff2f4b8b8b7fbb	0307e3f3f3e30303	本人に聞こう	スピード+10	一緒に踊ってみたら?	根性+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	バ・ナ・ナ・先・輩♪	010119f9f9190101	aa7233dcc1c19d36	ffdf73f37373fffb	01033bfbfbbb0303	・・・目を覚ませ、バナナ先輩	体力+10 スキルpt+5	脳もバナナを求めているはず！	体力+30 スキルPt+10 ランダムでスピード-5 ランダムで「太り気味」						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	レース勝利！	01016161e1610101	aa1e1ef3e101e13e	ff7fdfdbdbdbffbb	030763e3e7e70707	おめでとう!	体力-15 ランダム1種+5～10 スキルPt30～50 ランダムヒント	"まだ"一歩、だ	体力-5～20 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	レース入着	010161e1e1610101	aa1e1ef3f800e13e	ff7fdfdf97d7ffbb	030763e3e7e70707	……いい部分もあったぞ！	体力-20 ランダム1種+3～7 スキルPt+30～50 ランダムヒント	君の言う通りだ	体力-10～40 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	レース敗北	01014161e1610101	aa1e1ef3f001e13e	ff7f9f9797d77fbb	030763e3e7e70707	上	体力-25 ランダム1種+3～5 スキル+10～25	下	体力-15～35 ランダム1種+4 スキルpt+10～25						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	乙名史記者の徹底取材	0101f9f9f9f90101	e81733c4c8f0cc3f	f7ffb3b3f3a39f7f	0101fbfbfbf90103	上	確認中	下	確認中						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	夏合宿（２年目）にて	0101f1f9f1f90101	aa1311e6e6d9cd32	ffbf43032723affb	0101fbfbfbf90103	OK、灼熱のエアロビクス地獄だ!!	パワー+10	追加で40kmマラソンしようか	根性+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	緊急プレゼンテーション					君だからこその説得力だった	賢さ+10	君の理論は心に響くな	パワー+10	こっちまで勇気をもらったよ	スタミナ+10				
2	[pf.Victory formula...]ビワハヤヒデ(育成)	持つべきか、捨てるべきか					それがハヤヒデの武器だよ	賢さ+20	いっそメモ取りをやめてみる？	スタミナ+10 パワー+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	初詣	0101818181830303	aa0001fcfff8fe01	7fff3f3f3f3f3ffb	070787878f8f0f0f	ハヤヒデが元気でいられますように	体力+30	勝利を掴むために能力を上げたい	全ステータス+5	たくさん技術を磨きたい	スキルpt+35				
2	[pf.Victory formula...]ビワハヤヒデ(育成)	新年の抱負	0101c1e1e1e10101	aa1e0ef0f0e1f11e	ffff9f979797ffbb	0307e3e3e3e30303	理論	賢さ+10	食事	体力+20	技術	スキルPt+20				
2	[pf.Victory formula...]ビワハヤヒデ(育成)	追加の自主トレ	0101c1e1e1e10101	aa1e1fe2e271f00e	ffff0f8b8b8bdfbb	0307e3e3f3f30303	俺も付き合うよ	体力-5 直前のトレーニング種別+5 秋川理事長の絆ゲージ+5	ライバルなら、信じてあげよう	体力+5						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	彼女の新たな側面	0101f1f1f1f10101	ea1119e6e6c7c619	ff7fa7a7a7a77fbb	0303f3f3f3f30303	行き先が絞れそうならスイープを探そう	スピード+10	探す場所が多そうなマーベラスを探そう	スタミナ+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	暴れ龍との攻防	0101e1f1f1f10101	ea1e19e0e7c2e61c	ffff2b4b0b8bbffb	0303f3f3f3f30303	近場で済ませた方が・・・・・	パワー+5 根性+10	まぁ、関西に行ったついでなら	「阪神レース場〇」のヒントLv+1						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	明暗を分かつ					あの店にも何か武器があればいいのに	賢さ+10	宣伝を手伝うことならできるかも	根性+10						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	理論こそ最大の武器	80687878f8788000	c9c836373c3ec1d8	3f8bb3a393cb2d7b	81f97979f9798101	かっこよかった・・・・・!	スタミナ+20 確率で注目株	理論が役だったな!	賢さ+20						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	理論に基づいた昔ばなし	80687c7c7c7c8000	c3c03f3f363cc0d2	3f99d991d9d92f59	80ec7c7cfc7d8101	君なりにやってみてもいいかも	パワー+20	いっそ勉強会にしてみる？	根性+20						
2	[pf.Victory formula...]ビワハヤヒデ(育成)	料理と姉妹の思い出	0101f1f1f1f10101	ea171bc0c7d8c437	ffbf47c74787bbfb	0103f3fbf3f90303	力がつく栄養いっぱいのカレー	パワー+10	スタミナがつく肉厚ハンバーグ	スタミナ+5 賢さ+5						
3	[サイレントイノセンス]サイレンススズカ(育成)	Landscape color	8080f8f8f8f08000	ebf936fec01e80c0	2f1f53d3c3232f5b	8189f9f9f9f98101	緑が好きなんだな	根性+20	白が好きなんだな	パワー+20						
3	[サイレントイノセンス]サイレンススズカ(育成)	あなたの喜ぶ景色					のびのび走ってくれると嬉しい	パワー+10	走りすぎに気をつけてくれると嬉しい	スピード+5 根性+5						
3	[サイレントイノセンス]サイレンススズカ(育成)	あんし～ん笹針師、参☆上	010131bdf9fd0101	aa1530f2cf1fce21	7b9f63696369efbb	0101bdfdfdfd0103	強いウマ娘になれる秘孔を狙う	【成功時】 全ステ+20\n【失敗時】 やる気-1 全ステ-15 「夜ふかし気味」	レースで勝てる秘孔を狙う	【成功時】 「コーナー回復〇」 「直線回復」\n 【失敗時】 やる気-1 体力-20	元気で健康になれる秘孔を狙う	【成功時】 体力最大値+12 体力+40\n【失敗時】 やる気-1 体力-20 「練習ベタ」	魅力アップの秘孔を狙う	【成功時】 体力+20 やる気+1 「愛嬌〇」\n【失敗時】 やる気-1 体力-10	不安なのでやめておく	体力+10
3	[サイレントイノセンス]サイレンススズカ(育成)	ウマドル☆猛特訓！	0080d8f8f8f88000	dd73368f81d08837	3f2f13b373333f3f	8181f9f9f9f98101	ノリノリで!	スピード+10  パワー+10  ランダムで「注目株」	す、好きなように…?	根性+10  賢さ+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	お大事に！	0101c1c1c1c10101	aa060ff8f8e3f00e	ff7f9f979f9f7ffb	0307c3e3e7c70707	すぐ治してたくさん走ろう！	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」	下	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」						
3	[サイレントイノセンス]サイレンススズカ(育成)	しっとりパーティータイム	010101fdfdcd0101	aa0726fac909f30f	fb37cb9be989f7fb	01016bffffed0103	いっぱい食べよう！	体力+10	食前の運動もしっかりとな	スタミナ+5  パワー+5						
3	[サイレントイノセンス]サイレンススズカ(育成)	スズカ流後輩指導？	010171f1f1f10101	aa1839e7c0c8ce3f	ffbfe7e7c7c7db3b	0303f3f3f3f30303	並走トレーニングから	スピード+10	逃げ方の指導から	賢さ+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	ダンスレッスン	010181e1e1e10101	aa1f1cc0e33fe618	ffff2f4b8b8b7fbb	0307e3f3f3e30303	これも練習だ！	賢さ+10	ファンの声に応えてみよう！	根性+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	ふたりの相性はいかに！？					わたしとやってみる？	パワー+5 根性+5	マチカネフクキタルとやってみたら	スタミナ+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	レース勝利！	01016161e1610101	aa1e1ef3e101e13e	ff7fdfdbdbdbffbb	030763e3e7e70707	1着おめでとう！	体力-15 ランダム1種+5～10 スキルPt30～50 ランダムヒント	まだ走り足りない？	体力-5～20 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
3	[サイレントイノセンス]サイレンススズカ(育成)	レース入着	010161e1e1610101	aa1c1ef3f801e13e	ff7fdfdf97d77fbb	030763e3e7e70707	次こそ逃げ切ろう！	体力-20 ランダム1種+3～7 スキルPt+30～50 ランダムヒント	帰ってすぐにトレーニングだ！	体力-10～40 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
3	[サイレントイノセンス]サイレンススズカ(育成)	レース敗北	01014161e1610101	aa1e1ef3f001e13e	ff7f9f9797d77fbb	030763e3e7e70707	……もう走りたくなくなった？	体力-25 ランダム1種+3～5 スキル+10～25	下	体力-15～35 ランダム1種+4 スキルpt+10～25						
3	[サイレントイノセンス]サイレンススズカ(育成)	雨の日の過ごし方	0101e1f1f1f10101	aa1c19e2f0cee719	ffff470707c7bb7b	0303f3f3f3f30303	勉強とか	根性+10	料理とか	スピード+5 賢さ+5						
3	[サイレントイノセンス]サイレンススズカ(育成)	夏合宿（２年目）にて	0101f1f9f1f90101	aa1111eee6d9cd32	ffbf43032723afdb	0101fbfbfbf90103	砂浜で筋力アップだ！	パワー+10	山を1周走り切ろう！	根性+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	私の小さな雪景色					応援してるぞ！	スタミナ+10	代わりにやってみてもいい？	賢さ+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	趣味、特技、休日の過ごし方	0080ccfefefe8000	fa7f2fd08104906f	3f3728a8a8a8333f	0080fefefefe8101	そのままのスズカが知りたい	スタミナ+20	答え方を変えよう	スピード+10  賢さ+10						
3	[サイレントイノセンス]サイレンススズカ(育成)	初詣	0101818181830303	aa0001fcfff8fe01	7fff3f3f3f3fbffb	070787878f8f0f0f	甘味で元気いっぱい！おしるこ占い	体力+30	全てを運に任せよ！おみくじ占い	全ステータス+5	新たな技を身に付けよ！福笑い占い	スキルpt+35				
3	[サイレントイノセンス]サイレンススズカ(育成)	新年の抱負	0101c1e1e1e10101	aa1e0ef0f0e1f11e	ffff9f979797ffbb	0307e3e3e3e30303	速さを追求しよう	スピード+10	まずはリラックスしよう	体力+20	ひとまず、明けましておめでとう	スキルPt+20				
3	[サイレントイノセンス]サイレンススズカ(育成)	追加の自主トレ	0101c1e1e1e10101	aa1e1fe2e271f00e	ffff0f8b8b8bdfbb	0307e3e3f3f30303	夜の景色を満喫しよう	体力-5 直前のトレーニング種別+5 秋川理事長の絆ゲージ+5	寮の門限が近いぞ	体力+5						
3	[サイレントイノセンス]サイレンススズカ(育成)	背を追ってくれるから	010191f9f9f90101	a81333ccccc7ce33	ffff333333a33ffb	0101fbfbfbf90103	直線のトレーニングで	スピード+5 スキルPt+15	左回りのトレーニングで	「左回り○」ヒントLv+1						
3	[サイレントイノセンス]サイレンススズカ(育成)	白い誘惑	0101c1c1c1c10101	a8070ff8f0f3f007	bf7f9f9f9f9f7ffb	0707c7c7c7c70707	半分こして食べる？	体力+10 スキルPt+5	気にせず食べちゃおう！	体力+30 スキルPt+15						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	"女帝"vs."帝王"	0101f1f1e1e10101	aa5e1960f1ffe600	efbf6f4b8b4b7ffb	0307f3f3e3f30303	当たって砕けろだ！	根性+10	戦略練って頑張ろうな！	スキルPt+30						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	あんし～ん笹針師、参☆上	010131bdf9fd0101	aa1530f2cf1fce21	7b9f63696369efbb	0101bdfdfdfd0103	強いウマ娘になれる秘孔を狙う	【成功時】 全ステ+20\n【失敗時】 やる気-1 全ステ-15 「夜ふかし気味」	レースで勝てる秘孔を狙う	【成功時】 「コーナー回復〇」 「直線回復」\n 【失敗時】 やる気-1 体力-20	元気で健康になれる秘孔を狙う	【成功時】 体力最大値+12 体力+40\n【失敗時】 やる気-1 体力-20 「練習ベタ」	魅力アップの秘孔を狙う	【成功時】 体力+20 やる気+1 「愛嬌〇」\n【失敗時】 やる気-1 体力-10	不安なのでやめておく	体力+10
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	お大事に！	01c1c1c1c1c10101	a8f00f0f1c0ff9f0	7f9f979f9f17fffb	03c3e3e3c7c70303	心配だからダメ	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」	ならまだ頑張ってみよう！	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	カイチョーとダジャレ	010111f9f9f90101	aa1633d9cd6e1e11	ff5fa7a39323efff	01031bfbfbfb0303	買うのか？	スタミナ+5 パワー+5	帰るか？	スピード+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	カイチョーみたいな勝負服	008086fefede8000	9e7f2d9080f1906f	3f2b1c9cec3c273b	008197fffefe8101	タイは？	スピード+10 賢さ+10 ランダムで注目株に	マントは？	スタミナ+10 根性+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	カラオケでパワーアップ！？	01012dfdf9ed0101	aa562d7dc8d3530c	fff7c999b1497ffb	01033dfdfdfd0103	危ないテイオー!	根性+10	間に合わない・・・!	スピード+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	ダンスレッスン	010181e1e1e10101	aa1f1cc0e33fe618	ffff2f4b8b8b7fbb	0307e3f3f3e30303	バランス感覚を鍛えよう	スタミナ+10	全身の筋力をつけよう	パワー+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	テイオー、ウマドルになる！？	01011dffdd1d0101	aa662599d8e69b2c	7bd729a9b1b9eff3	01011fffffbf0101	数曲だけ見ていこうかな	パワー+10	用事があるからごめん	スピード+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	テイオーのジンクス	0080d8f8f8f88001	fffc3606c1d10836	3f2f33c3e3331f3f	8181dbfbf9f98101	今はどうだ？	スタミナ+20	テイオーのジンクスかな？	賢さ+20						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	テイオーの武者修行	010131f1f1310101	ae5031c7c4cece39	7f9f67e7e767bbdb	0303bbf3f3f30303	トレーニングじゃ物足りないか？	根性+10 スキルPt+15	いい友だちが出来たんだな	「抜け出し準備」ヒントLv+1						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	ボクとマヤノと大人の時間					オトナの味は次の機会にしたら？	根性+10	甘いものが食べたくなってきたな〜	賢さ+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	ボクとみんなとカップケーキ	010101fdfdf90101	aa1c2dc6d25ce533	ffff5b29c9c1ab5f	01030bfdfdff0303	半分こすればいい	体力+5 やる気+1	勝負すればいい	スピード+5 パワー+5						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	レース勝利！	01016161e1610101	aa1e1ef3e101e13e	ff7fdfdbdbdbffbb	030763e3e7e70707	さすがだな！	体力-15 ランダム1種+5～10 スキルPt30～50 ランダムヒント	まだこんなものじゃないだろう？	体力-5～20 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	レース入着	010161e1e1610101	aa1c1ef3f801e13e	ff7fdfdf97d77fbb	030763e3e7e70707	それだけ悔しがれるのも才能	体力-20 ランダム1種+3～7 スキルPt+30～50 ランダムヒント	なら次は1着を取るぞ！	体力-10～40 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	レース敗北	01014161e1610101	aa1e1ef3f001e13e	ff7f9f9797d77fbb	030763e3e7e70707	まずは落ち着こう!	体力-25 ランダム1種+3～5 スキル+10～25	なら証明してやろう!	体力-15～35 ランダム1種+4 スキルpt+10～25						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	わがままテイオーと思い出の景色	0080a7ffff678000	b77e7e8180c0837e	3f3f4fcecece333f	0080b7ffffff8000	よし、ゴミ拾いは任せたぞ！	根性+20	よし、落書き消しは任せたぞ！	スピード+10 パワー+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	夏合宿（２年目）にて	0101f1f9f1f90101	aa1311e6e6d9cd32	ffbf43032723afdb	0101fbfbfbf90103	じゃあ水中バレーをしようか	パワー+10	じゃあ素振りをしようか	根性+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	気づいちゃった！					テイオーの走りが好きだから	スピード+5 スタミナ	約束を守りたいから	根性+5 賢さ+5	多分テイオーと同じだよ	パワー+5				
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	叱られちゃった！					それはルール違反だろう	賢さ+10	ちゃんと俺を見てほしい	パワー+5 根性+5						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	初詣	0101818181830303	aa0001fcfff8fe01	7fff3f3f3f3fbffb	070787878f8f0f0f	「テイオーの健康に気を配ります」って	体力+30	「テイオーの実力向上に努めます」って	全ステータス+5	「テイオーをスキルアップさせます」って	スキルpt+35				
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	新年の抱負	0101c1e1e1e10101	aa1e0ef0f0e1f11e	ffff9f979797ffbb	0307e3e3e3e30303	最後まで走りぬく根性作り！	根性+10	しっかり走るための体調管理！	体力+20	持ち味を活かす技術向上！	スキルPt+20				
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	追加の自主トレ	0101c1e1e1e10101	aa1e1fe2e271f00e	ffff0f8b8b8bdfbb	0307e3e3f3f30303	じゃあ試してみようか	体力-5 直前のトレーニング種別+5 秋川理事長の絆ゲージ+5	比べるまでもない	体力+5						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	褒められちゃった！					楽しませてくれるからついね	スタミナ+10	期待に応えてくれるからついね	スピード+10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	無茶は厳禁！	01e1e1e1e1c10101	eaf30e0c781ee1e1	ff1f9b1b9b9b7fdb	03e3e3e3e3e30303	無理はしないでほしい	体力+10  やる気-1  スピード-10  スタミナ-10  パワー-10	その体で走れるのか？	体力+10  やる気-1  スタミナ-10  パワー-10  賢さ-10						
4	[トップ・オブ・ジョイフル]トウカイテイオー(育成)	力のヒミツ！	010101e1e1e10101	aa170f78f361700f	df7fdf0b0f9fdfff	010767e7e7e70703	ういうことじゃない気が……	体力+10 スキルPt+5	そう！ご飯を食べよう！	体力+30 スキルPt+10 ランダムでスピード-5 ランダムで「太り気味」						
5	[ビヨンド・ザ・ホライズン]トウカイテイオー(育成)	"女帝"vs."帝王"	0101f1f1e1e10101	aa5e1960f1ffe600	efbf6f4b8b4b7ffb	0307f3f3e3f30303	当たって砕けろだ！	根性+10	戦略練って頑張ろうな！	スキルPt+30						
5	[ビヨンド・ザ・ホライズン]トウカイテイオー(育成)	あんし～ん笹針師、参☆上	010131bdf9fd0101	aa1530f2cf1fce21	7b9f63696369efbb	0101bdfdfdfd0103	強いウマ娘になれる秘孔を狙う	【成功時】 全ステ+20\n【失敗時】 やる気-1 全ステ-15 「夜ふかし気味」	レースで勝てる秘孔を狙う	【成功時】 「コーナー回復〇」 「直線回復」\n 【失敗時】 やる気-1 体力-20	元気で健康になれる秘孔を狙う	【成功時】 体力最大値+12 体力+40\n【失敗時】 やる気-1 体力-20 「練習ベタ」	魅力アップの秘孔を狙う	【成功時】 体力+20 やる気+1 「愛嬌〇」\n【失敗時】 やる気-1 体力-10	不安なのでやめておく	体力+10
